Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp,Pass4_T3_Kills,Pass4_T2_Kills,Pass4_T1_Kills,Pass4_RssAssistance,Pass4_RssGathered,Pass4_AllianceHelp,Total_LowTier_Kills,Total_RSS_Gather,Total_Helps,Total_Assistance
9450025,ZoO Anarchy,"123,756","139,681","531,525","4,565,242,994","15,342,281,518","88,414","123,756","139,681","532,002","4,565,242,994","15,372,422,512","89,373",,,,
83358707,imad 2,"49,545","73,848","217,278","18,510,395,882","19,137,856,385","44,800","49,581","73,862","217,280","19,090,395,882","19,693,905,298","45,854",,,,
7385964,SZ RomioS,"16,234","55,013","324,720","2,378,928,399","12,050,639,793","25,466","16,234","55,013","328,513","2,378,928,399","12,228,292,045","25,922",,,,
56842186,S Tyrande 8,"2,024,065","5,143,405","2,405,893","7,246,448,479","13,116,323,668","55,619","2,024,318","5,152,406","2,405,893","7,246,448,479","13,227,994,103","56,363",,,,
30889521,RhECrypto,"110,742","132,819","95,607","4,591,319,508","11,802,814,748","48,265","110,742","132,819","95,607","4,591,319,508","11,812,415,428","48,362",,,,
56780541,â€œEinherjarS,"19,944","76,770","79,982","218,000,320","7,093,013,990","30,302","20,017","76,770","79,983","218,000,320","7,173,251,039","31,875",,,,
19241701,POOCH Maniw,"399,597","482,952","3,583,762","252,835,213","8,194,520,440","8,911","399,597","482,952","3,583,762","252,835,213","8,234,653,015","8,941",,,,
17642161,StAlfaKoral3z,"3,213","127,205","58,313","4,522,420,917","10,707,154,744","48,883","3,213","127,205","58,313","4,522,420,917","10,707,154,744","48,887",,,,
50899585,CALLMESTAX â€œ,"1,575,926","624,162","1,085,976","1,037,155,968","11,713,272,428","41,981","1,583,425","681,776","1,671,205","1,112,155,968","12,040,059,805","44,384",,,,
13719316,TECHSIN,"1,094,335","315,764","1,731,410","9,027,441,678","17,836,446,975","111,492","1,094,335","315,764","1,731,410","9,027,441,678","17,880,919,537","111,546",,,,
77174079,OHVickydiel,"1,750,018","1,799,134","1,944,353","2,390,861,795","11,247,681,576","20,163","1,750,908","1,801,766","945,752","2,390,861,795","11,645,351,729","20,857",,,,
14915327,Secret Squirre,"685,650","214,456","1,046,550","4,809,971,927","14,228,838,004","99,194","685,650","215,142","1,100,687","4,809,971,927","14,348,121,364","100,015",,,,
23663084,MALYL,"239,221","83,935","247,430","25,972,285,620","16,897,519,854","30,659","239,221","83,935","247,430","26,811,956,538","17,191,142,281","31,583",,,,
61716103,Donar1887,"433,604","507,101","242,890","4,070,438,723","11,323,086,640","26,665","433,604","507,101","244,289","4,070,438,723","11,575,300,714","27,455",,,,
11323855,Nine Â©,"275,194","373,101","30,741,890","5,891,421,464","22,904,571,105","306,877","308,695","405,146","30,802,794","5,891,421,464","23,263,424,702","310,193",,,,
89220552,ir â€˜yMaster Po,"480,676","341,454","34,929,620","2,112,753,178","10,647,876,753","59,144","481,089","356,148","35,557,902","2,112,753,178","10,953,687,648",BE}GEYI,,,,
28287230,MoDy77,"50,255","3,765","130,562","3,588,260,464","5,008,743,513","27,437","50,255","3,765","130,562","3,588,260,464","5,008,743,513","27,437",,,,
17824938,Devil U made,"601,827","470,223","1,144,937","1,359,097,692","4,705,303,355","19,566","601,827","470,223","1,144,937","1,359,097,692","4,705,303,355","19,587",,,,
14125876,Bad Iskan,"88,499","63,291","205,163","4,702,048,415","10,207,327,290","51,030","88,499","63,291","205,163","4,702,048,415","10,248,682,228","51,066",,,,
60277847,Bad Lagou37,"798,323","904,316","1,510,291","2,233,680,688","9,684,572,846","44,139","798,323","904,316","1,510,291","2,233,680,688","9,684,572,846","44,139",,,,
36747489,Ephantis,"228,954","209,449","302,515","576,928,532","10,748,157,725","34,491","230,802","209,449","302,791","576,928,532","11,138,562,519","35,802",,,,
3461098,ti Johnbernie,"81,278","5,219","63,973","7,890,282,854","7,001,421,249","19,991","81,278","5,219","63,973","7,890,282,854","7,183,482,773","20,204",,,,
9167319,Phak Yu Putin,"72,815","34,211","163,363","6,973,044,296","10,341,513,357","14,805","72,815","34,211","163,363","6,973,044 ,296","10,341,513,357","14,806",,,,
14275450,Poppops 4674,"1,445",24,616,"15,494,017,375","9,886,613,018","6,615","1,445",24,616,"17,079,017,375","9,944,866,946","6,625",,,,
14202127,Edvus,"302,862","349,302","634,399","1,975,502,105","12,003,091,441","20,310","302,862","349,302","634,399","1,975,502,105","12,379,395,839","20,378",,,,
