Id,name,Starting_power,Total_Kills,T5_Kills,T4_Kills,Deaths,Pass4_Power,Total_Kills_Pass4,T5_Kills_Pass4,T4_Kills_Pass4,Deaths_Pass4,Pass4_Total_kills ,Pass4_T5_Kills, Pass4_T4_Kills , Pass4_Deaths 
11323855,Nine ©,60053054,990749226,35424617,27426153,14725455,59563888,1005908290,35956184,27857898,15286398,15159064,532000,431745,560943
28287230,MoDy77,59376991,119289692,4251645,3402213,1862538,59367417,119289692,4251645,3402213,1862538,0,0,0,0
60277847,Bad Lagou37,59047223,613909862,18936577,22987434,8229499,59240814,613909862,18936577,22987434,8229499,0,0,0,0
35790056,AsIZE,57899703,60662448,2270943,1380791,6481414,58895804,60662448,2270943,1380791,6481414,0,0,0,0
9167319,Phak Yu Putin,58794576,112409084,3810135,3581403,7514982,58785885,112409084,3810135,3581403,7514982,0,0,0,0
14275450,Poppops 4674,58632724,1349841,37952,58485,415005,58632774,1349841,37952,58485,415005,0,0,0,0
8064984,minidrake,55637845,362756187,7528105,20472108,10949677,58252182,362757146,7528105,20472108,10949677,959,0,0,0
60965001,IJ uulHEMIlJ,55353922,436294968,10707617,19222145,6415262,58211859,436294968,10707617,19222145,6415262,0,0,0,0
28419870,Heisenberg 89,57698607,40649366,985743,1661612,8581580,58124307,40649366,985743,1661612,8581580,0,0,0,0
13880048,Pugsley97,57520517,12143231,214012,786298,4708826,58076977,12143231,214012,786298,4708826,0,0,0,0
28300028,ABU NASSER,55613627,173626919,2801406,10336804,2385631,57706191,201972716,3610811,11552080,2648575,28345797,809000,1215276,262944
2353964,derpstone,56443826,74129904,2066161,3096306,10467068,57209926,87726135,2066161,4091547,10564361,13596231,0,995241,97293
28282912,Lans66,55842729,20680912,582132,766056,11857231,57169603,20680912,582132,766056,11857231,0,0,0,0
4016167,Ldcarpathes,56993505,199251408,5570685,7971107,4509390,57005165,199251408,5570685,7971107,4509390,0,0,0,0
39381278,999Wolf,56034444,12218547,254084,578365,660773,56798444,12218547,254084,578365,660773,0,0,0,0
9392884,educet,55482960,90857218,2686785,3560052,13386523,56546952,90857218,2686785,3560052,13386523,0,0,0,0
28343184,Najmil1,55652370,43307,0,1838,4945,56473681,43307,0,1838,4945,0,0,0,0
36747489,Ephantis,58947862,474205127,18882748,9515495,5113729,56079474,580813514,23422816,11095453,5521344,106608387,4540000,1579958,407615
42514893,WrEcK HaVoK,55487196,115712534,3535685,4354698,2465550,55986684,115712534,3535685,4354698,2465550,0,0,0,0
12451821,Onsenffou,53920806,540046313,19363180,14934178,17618072,55886572,540089008,19363180,14935281,17618072,42695,0,1103,0
